planning,2941,7,0,34.00
no_planning,2941,7,0,25.80
planning,3958,7,0,18.60
no_planning,3958,7,0,15.90
planning,141,8,2,23.30
no_planning,141,8,0,19.80
planning,8215,8,2,20.40
no_planning,8215,8,0,17.10
planning,655,8,0,27.80
no_planning,655,8,0,22.20
planning,4055,8,0,32.50
no_planning,4055,8,1,25.90
planning,1901,8,0,31.90
no_planning,1901,8,2,24.40
planning,5913,8,0,28.60
no_planning,5913,8,12,22.20
planning,8955,8,0,24.30
no_planning,8955,8,0,20.50
planning,8251,8,0,26.90
no_planning,8251,8,0,21.10
planning,2536,8,0,23.00
no_planning,2536,8,2,18.90
planning,391,8,1,26.90
no_planning,391,8,0,21.30
planning,5283,8,0,22.40
no_planning,5283,8,0,21.50
planning,4578,8,0,23.90
no_planning,4578,8,6,20.70
planning,1935,8,0,25.90
no_planning,1935,8,0,21.30
planning,3760,8,0,30.40
no_planning,3760,8,2,23.80
planning,8639,8,0,30.40
no_planning,8639,8,0,23.40
planning,8228,8,0,31.40
no_planning,8228,8,28,25.70
planning,7821,9,2,26.90
no_planning,7821,9,0,28.20
planning,8024,9,3,26.70
no_planning,8024,9,3,22.60
planning,5796,9,0,28.80
no_planning,5796,9,5,22.20
planning,4303,9,0,26.90
no_planning,4303,9,3,21.60
planning,7288,9,0,25.00
no_planning,7288,9,0,19.50
planning,2656,9,0,23.30
no_planning,2656,9,2,19.90
planning,7353,9,0,24.90
no_planning,7353,9,0,21.50
planning,4773,9,0,31.90
no_planning,4773,9,3,25.00
planning,753,9,0,26.00
no_planning,753,9,0,20.60
planning,4559,9,0,24.20
no_planning,4559,9,0,20.50
planning,5406,9,0,21.40
no_planning,5406,9,1,21.50
planning,8440,9,0,22.40
no_planning,8440,9,2,18.20
planning,7292,9,0,27.70
no_planning,7292,9,7,22.50
planning,3507,9,2,30.50
no_planning,3507,9,0,23.40
planning,4669,9,0,23.10
no_planning,4669,9,0,22.20
planning,8535,9,0,23.30
no_planning,8535,9,6,21.60
planning,4176,10,0,28.70
no_planning,4176,10,1,22.00
planning,468,10,4,29.60
no_planning,468,10,4,25.40
planning,60,10,0,25.10
no_planning,60,10,480,50.00
planning,447,10,0,23.10
no_planning,447,10,2,19.40
planning,2158,10,0,23.30
no_planning,2158,10,2,20.80
planning,9142,10,0,26.70
no_planning,9142,10,2,23.10
planning,4355,10,0,26.30
no_planning,4355,10,7,23.20
planning,6886,10,4,19.70
no_planning,6886,10,2,17.50
planning,2267,10,0,23.80
no_planning,2267,10,0,21.80
planning,3952,10,0,36.70
no_planning,3952,10,2,30.00
planning,3281,10,1,24.30
no_planning,3281,10,0,20.50
planning,7131,10,0,23.20
no_planning,7131,10,2,21.60
planning,7729,10,0,23.20
no_planning,7729,10,4,18.00
planning,965,10,2,21.50
no_planning,965,10,2,17.90
planning,9173,10,0,22.30
no_planning,9173,10,2,22.40
planning,9342,10,0,20.00
no_planning,9342,10,0,20.70
planning,4225,11,0,24.10
no_planning,4225,11,5,22.10
planning,642,11,0,25.20
no_planning,642,11,0,22.50
planning,6842,11,2,28.70
no_planning,6842,11,0,22.00
planning,7065,11,4,26.90
no_planning,7065,11,0,22.10
planning,9641,11,3,26.90
no_planning,9641,11,19,21.40
planning,1521,11,0,22.20
no_planning,1521,11,0,21.20
planning,6631,11,2,29.00
no_planning,6631,11,13,24.90
planning,3260,11,0,25.00
no_planning,3260,11,0,20.60
planning,9505,11,1,28.60
no_planning,9505,11,11,23.80
planning,9124,11,0,24.10
no_planning,9124,11,2,20.10
planning,5693,11,0,25.10
no_planning,5693,11,4,20.20
planning,6037,11,0,27.00
no_planning,6037,11,0,20.90
planning,6308,11,0,21.40
no_planning,6308,11,0,19.60
planning,9229,11,0,27.70
no_planning,9229,11,0,22.00
planning,2636,11,6,17.50
no_planning,2636,11,2,17.70
planning,280,11,0,23.20
no_planning,280,11,2,20.90
planning,2546,12,3,24.10
no_planning,2546,12,1,21.50
planning,506,12,4,27.80
no_planning,506,12,2,21.90
planning,622,12,4,23.10
no_planning,622,12,3,20.50
planning,1195,12,0,28.60
no_planning,1195,12,20,22.30
planning,6807,12,7,25.00
no_planning,6807,12,2,20.70
planning,8764,12,0,24.30
no_planning,8764,12,3,19.50
planning,3279,12,2,23.30
no_planning,3279,12,2,19.20
planning,6217,12,2,18.50
no_planning,6217,12,24,18.50
planning,1610,12,0,24.40
no_planning,1610,12,0,21.10
planning,5786,12,3,29.70
no_planning,5786,12,1,25.20
planning,3098,12,0,27.00
no_planning,3098,12,2,21.50
planning,5115,12,0,23.30
